date,variable,seriesNo,value
2019-06-01,"Glassware, Tableware & Household Utensils",1.04.4,96.642
2019-06-01,Tools & Equipment For House & Garden,1.04.5,84.934
2019-06-01,Household Services & Supplies,1.04.6,94.061
2019-06-01,Health,1.05,90.556
2019-06-01,Medicines & Health Products,1.05.1,96.36
2019-06-01,Outpatient Care Services,1.05.2,92.256
2019-06-01,Inpatient Care Services,1.05.3,86.671
2019-06-01,Other Health Services,1.05.4,86.401
2019-06-01,Health Insurance,1.05.5,85.694
2019-06-01,Transport,1.06,73.982
2019-06-01,Private Transport,1.06.1,70.46
2019-06-01,Land Transport Services,1.06.2,80.243
2019-06-01,Other Transport Services,1.06.3,93.972
2019-06-01,Transport Services Of Goods,1.06.4,90.979
2019-06-01,Information & Communication,1.07,97.276
2019-06-01,Information & Communication Equipment,1.07.1,100.559
2019-06-01,Software Excl Games,1.07.2,103.031
2019-06-01,Information & Communication Services,1.07.3,96.679
2019-06-01,"Recreation, Sport & Culture",1.08,87.278
2019-06-01,Recreation & Cultural Goods,1.08.1,94.227
2019-06-01,Other Recreational Goods,1.08.2,102.987
2019-06-01,Garden Products & Pets,1.08.3,86.465
2019-06-01,Recreational Services,1.08.4,82.676
2019-06-01,Cultural Services,1.08.5,88.118
2019-06-01,"Newspapers, Books & Stationery",1.08.6,96.415
2019-06-01,Holiday Expenses,1.08.7,86.497
2019-06-01,Education,1.09,91.662
2019-06-01,"General, Vocational & Higher Education",1.09.1,96.621
2019-06-01,Private Tuition & Other Educational Courses,1.09.2,81.444
2019-06-01,School Textbooks & Study Guides,1.09.3,95.727
2019-06-01,Miscellaneous Goods & Services,1.10,97.071
2019-06-01,Personal Care,1.10.1,95.635
2019-06-01,Alcoholic Beverages & Tobacco,1.10.2,88.57
2019-06-01,Other Personal Effects,1.10.3,102.297
2019-06-01,Social Services,1.10.4,105.862
2019-06-01,Other Miscellaneous Services,1.10.5,103.628
2019-06-01,Food & Beverage Serving Services,1.11,83.978
2019-06-01,"Restaurants, Cafes & Pubs",1.11.1,84.271
2019-06-01,Fast Food Restaurants,1.11.2,82.47
2019-06-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.815
2019-06-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.723
2019-06-01,All Items Less Accommodation,2,85.426
2019-06-01,All Items Less Imputed Rentals For Housing,3,85.674
2019-07-01,All Items,1,85.838
2019-07-01,Food,1.0,84.373
2019-07-01,Food Excl Food & Beverage Serving Services,1.01,85.094
2019-07-01,Rice & Cereal Products,1.01.1,84.028
2019-07-01,Meat,1.01.2,80.709
2019-07-01,Fish & Other Seafood,1.01.3,92.567
2019-07-01,"Milk, Other Dairy Products & Eggs",1.01.4,84.309
2019-07-01,Oils & Fats,1.01.5,83.198
2019-07-01,Fruits & Nuts,1.01.6,86.8
2019-07-01,Vegetables,1.01.7,83.23
2019-07-01,"Sugar, Confectionery & Desserts",1.01.8,88.542
2019-07-01,Ready-Made Food & Other Food Products Nec,1.01.9,86.148
2019-07-01,Non-Alcoholic Beverages,1.01.10,84.217
2019-07-01,Clothing & Footwear,1.02,103.403
2019-07-01,Clothing,1.02.1,103.746
2019-07-01,Footwear,1.02.2,103.054
2019-07-01,Housing & Utilities,1.03,87.404
2019-07-01,Accommodation,1.03.1,87.734
2019-07-01,Utilities & Other Fuels,1.03.2,85.757
2019-07-01,Household Durables & Services,1.04,93.879
2019-07-01,Furniture & Furnishings,1.04.1,91.109
2019-07-01,Household Textiles,1.04.2,98.935
2019-07-01,Household Appliances,1.04.3,95.758
2019-07-01,"Glassware, Tableware & Household Utensils",1.04.4,96.184
2019-07-01,Tools & Equipment For House & Garden,1.04.5,85.401
2019-07-01,Household Services & Supplies,1.04.6,94.077
2019-07-01,Health,1.05,90.59
2019-07-01,Medicines & Health Products,1.05.1,96.792
2019-07-01,Outpatient Care Services,1.05.2,92.289
2019-07-01,Inpatient Care Services,1.05.3,87.212
2019-07-01,Other Health Services,1.05.4,86.375
2019-07-01,Health Insurance,1.05.5,85.716
2019-07-01,Transport,1.06,73.659
2019-07-01,Private Transport,1.06.1,70.135
2019-07-01,Land Transport Services,1.06.2,80.366
2019-07-01,Other Transport Services,1.06.3,93.66
2019-07-01,Transport Services Of Goods,1.06.4,90.979
2019-07-01,Information & Communication,1.07,97.375
2019-07-01,Information & Communication Equipment,1.07.1,98.477
2019-07-01,Software Excl Games,1.07.2,103.031
2019-07-01,Information & Communication Services,1.07.3,97.159
2019-07-01,"Recreation, Sport & Culture",1.08,86.938
2019-07-01,Recreation & Cultural Goods,1.08.1,96.407
2019-07-01,Other Recreational Goods,1.08.2,103.422
2019-07-01,Garden Products & Pets,1.08.3,86.525
2019-07-01,Recreational Services,1.08.4,82.662
2019-07-01,Cultural Services,1.08.5,88.762
2019-07-01,"Newspapers, Books & Stationery",1.08.6,96.544
2019-07-01,Holiday Expenses,1.08.7,85.883
2019-07-01,Education,1.09,91.695
2019-07-01,"General, Vocational & Higher Education",1.09.1,96.723
2019-07-01,Private Tuition & Other Educational Courses,1.09.2,81.55
2019-07-01,School Textbooks & Study Guides,1.09.3,95.529
2019-07-01,Miscellaneous Goods & Services,1.10,97.087
2019-07-01,Personal Care,1.10.1,95.783
2019-07-01,Alcoholic Beverages & Tobacco,1.10.2,88.437
2019-07-01,Other Personal Effects,1.10.3,102.462
2019-07-01,Social Services,1.10.4,105.862
2019-07-01,Other Miscellaneous Services,1.10.5,103.628
2019-07-01,Food & Beverage Serving Services,1.11,84.061
2019-07-01,"Restaurants, Cafes & Pubs",1.11.1,84.44
2019-07-01,Fast Food Restaurants,1.11.2,82.621
2019-07-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.869
2019-07-01,"Other Catering Services, Incl Vending Machines",1.11.4,85.462
2019-07-01,All Items Less Accommodation,2,85.303
2019-07-01,All Items Less Imputed Rentals For Housing,3,85.556
2019-08-01,All Items,1,85.981
2019-08-01,Food,1.0,84.667
2019-08-01,Food Excl Food & Beverage Serving Services,1.01,85.569
2019-08-01,Rice & Cereal Products,1.01.1,84.405
2019-08-01,Meat,1.01.2,81.258
2019-08-01,Fish & Other Seafood,1.01.3,92.75
2019-08-01,"Milk, Other Dairy Products & Eggs",1.01.4,85.05
2019-08-01,Oils & Fats,1.01.5,82.435
2019-08-01,Fruits & Nuts,1.01.6,87.806
2019-08-01,Vegetables,1.01.7,82.715
2019-08-01,"Sugar, Confectionery & Desserts",1.01.8,87.863
2019-08-01,Ready-Made Food & Other Food Products Nec,1.01.9,85.937
2019-08-01,Non-Alcoholic Beverages,1.01.10,83.311
2019-08-01,Clothing & Footwear,1.02,102.894
2019-08-01,Clothing,1.02.1,103.12
2019-08-01,Footwear,1.02.2,101.952
2019-08-01,Housing & Utilities,1.03,87.202
2019-08-01,Accommodation,1.03.1,87.4
2019-08-01,Utilities & Other Fuels,1.03.2,85.38
2019-08-01,Household Durables & Services,1.04,94.082
2019-08-01,Furniture & Furnishings,1.04.1,91.591
2019-08-01,Household Textiles,1.04.2,100.03
2019-08-01,Household Appliances,1.04.3,95.876
2019-08-01,"Glassware, Tableware & Household Utensils",1.04.4,96.821
2019-08-01,Tools & Equipment For House & Garden,1.04.5,84.914
2019-08-01,Household Services & Supplies,1.04.6,94.18
2019-08-01,Health,1.05,90.624
2019-08-01,Medicines & Health Products,1.05.1,96.439
2019-08-01,Outpatient Care Services,1.05.2,92.354
2019-08-01,Inpatient Care Services,1.05.3,87.431
2019-08-01,Other Health Services,1.05.4,86.383
2019-08-01,Health Insurance,1.05.5,85.764
2019-08-01,Transport,1.06,74.481
2019-08-01,Private Transport,1.06.1,71.117
2019-08-01,Land Transport Services,1.06.2,80.242
2019-08-01,Other Transport Services,1.06.3,94.38
2019-08-01,Transport Services Of Goods,1.06.4,90.979
2019-08-01,Information & Communication,1.07,97.702
2019-08-01,Information & Communication Equipment,1.07.1,100.394
2019-08-01,Software Excl Games,1.07.2,103.031
2019-08-01,Information & Communication Services,1.07.3,97.209
2019-08-01,"Recreation, Sport & Culture",1.08,86.544
2019-08-01,Recreation & Cultural Goods,1.08.1,96.466
2019-08-01,Other Recreational Goods,1.08.2,102.468
2019-08-01,Garden Products & Pets,1.08.3,87.355
2019-08-01,Recreational Services,1.08.4,82.596
2019-08-01,Cultural Services,1.08.5,88.624
2019-08-01,"Newspapers, Books & Stationery",1.08.6,96.414
2019-08-01,Holiday Expenses,1.08.7,85.314
2019-08-01,Education,1.09,91.764
2019-08-01,"General, Vocational & Higher Education",1.09.1,96.788
2019-08-01,Private Tuition & Other Educational Courses,1.09.2,81.647
2019-08-01,School Textbooks & Study Guides,1.09.3,95.529
